CITY_CODE,STATE,NUM_PARTICIPANTS,NATURAL_SCIENCES_SCORE_AVG,HUMANITIES_SCORE_AVG,LANGUAGES_SCORE_AVG,MATH_SCORE_AVG,ESSAY_SCORE_AVG,OVERALL_SCORE_AVG,CITY,FAMILY_INCOME_SM_AVG,CLUSTER
4303905,RS,1119,513.9924932975871,534.5977658623772,531.4752457551385,541.412689901698,535.2815013404826,531.3519392314566,CAMPO BOM,2.370919881305638,2
4304408,RS,816,520.6705882352941,539.1773284313725,535.2724264705882,541.8170343137255,545.0245098039215,536.3923774509803,CANELA,2.6151502843216896,2
4304507,RS,957,510.4817136886102,530.1423197492163,516.5628004179728,526.7655172413793,547.3772204806687,526.2659143155695,CANGUÇU,1.6455696202531649,2
4304606,RS,6826,520.359698212716,538.8241869323176,533.3128918839731,542.7464840316437,540.7442133020803,535.1974948725463,CANOAS,2.364025750202757,2
4304630,RS,1079,508.66784059314176,526.8990732159407,525.4553290083411,523.4501390176089,529.1010194624653,522.7146802594996,CAPÃO DA CANOA,2.0132716049382715,2
4304663,RS,496,499.5778225806452,507.8633064516129,508.6810483870967,496.1774193548387,488.4274193548387,500.1454032258064,CAPÃO DO LEÃO,1.5497644287396937,1
4304705,RS,1542,521.1348249027237,535.4639429312581,522.1441634241246,533.5856679636835,538.9364461738003,530.2530090791181,CARAZINHO,2.32078678970374,2
4304804,RS,635,526.3818897637796,554.1266141732284,532.1291338582677,558.5811023622048,578.1102362204724,549.8657952755905,CARLOS BARBOSA,3.014857881136951,2
4305108,RS,6720,530.9475595238096,547.0945535714286,536.9550297619047,550.820699404762,575.5446428571429,548.2724970238096,CAXIAS DO SUL,2.529180254132464,2
4305207,RS,1123,512.9054318788959,526.0412288512912,505.9318788958148,523.8408726625112,536.3846838824577,521.020819234194,CERRO LARGO,1.9569954128440368,2
4305355,RS,899,512.9091212458287,519.1931034482758,521.1578420467187,527.0825361512792,527.7864293659621,521.625806451613,CHARQUEADAS,2.3182509505703424,2
4306106,RS,1663,513.3321106434155,520.876007215875,512.7361395069152,514.479073962718,527.9134095009019,517.867348165965,CRUZ ALTA,2.053635547576301,1
4306403,RS,580,523.438448275862,547.7298275862069,536.0329310344828,562.6406896551724,574.4827586206897,548.8649310344828,DOIS IRMÃOS,2.869181946403385,2
4306601,RS,800,496.05025,502.99425,500.39925000000005,495.104,472.65,493.43955,DOM PEDRITO,1.5784023668639051,1
4306767,RS,622,508.20128617363343,519.4771704180064,518.4442122186495,513.2353697749196,496.4630225080386,511.1642122186495,ELDORADO DO SUL,2.059006211180124,1
4306809,RS,700,527.462,546.6112857142857,525.6128571428571,552.4391428571429,583.3714285714286,547.0993428571429,ENCANTADO,2.670514511873351,2
4306908,RS,378,502.6140211640212,515.1648148148148,512.2100529100529,503.02433862433867,503.4391534391534,507.2904761904762,ENCRUZILHADA DO SUL,1.5382352941176471,1
4307005,RS,3483,528.0214757393052,540.6310364628193,524.4667815101924,544.2035601492965,559.1846109675568,539.3014929658341,ERECHIM,2.2834234455640208,2
4307500,RS,755,516.940927152318,529.1262251655629,510.4554966887417,528.2678145695364,564.158940397351,529.789880794702,ESPUMOSO,2.34641638225256,2
4307609,RS,876,515.5013698630137,532.9993150684932,531.491095890411,544.7619863013699,541.3698630136986,533.2247260273973,ESTÂNCIA VELHA,2.4098586017282013,2
4307708,RS,1697,519.4196817913966,535.492987625221,532.5503241013554,541.2339422510312,537.1714790807307,533.173682969947,ESTEIO,2.270976200080678,2
4307807,RS,505,540.0283168316831,553.7033663366337,536.8685148514851,575.8801980198019,566.8118811881188,554.6584554455445,ESTRELA,2.8623595505617976,2
4307906,RS,972,523.6833333333334,545.1635802469136,531.4460905349794,554.4762345679013,563.1481481481482,543.5834773662552,FARROUPILHA,2.7751677852348995,2
4308508,RS,2290,513.4391703056768,523.5173799126637,508.76096069869,516.0783842794759,539.589519650655,520.2770829694323,FREDERICO WESTPHALEN,1.962527553269655,1
4308607,RS,492,533.9310975609756,552.169512195122,536.4424796747968,556.729674796748,578.69918699187,551.5943902439025,GARIBALDI,2.9573394495412844,2
4308904,RS,604,514.1337748344371,522.566225165563,509.78923841059606,524.5,536.4238410596026,521.4826158940398,GETÚLIO VARGAS,2.3273727647867952,2
4309001,RS,274,509.0317518248176,521.6832116788322,513.4350364963504,514.2518248175182,530.1459854014598,517.7095620437956,GIRUÁ,1.7106958762886595,1
4309209,RS,4181,516.9322889260942,533.1086342980149,531.238674958144,532.8396555847884,538.3496771107391,530.4937861755561,GRAVATAÍ,2.236842105263158,2
4309308,RS,2202,504.6026793823797,519.772025431426,519.8556312443234,516.6640781108084,514.4959128065395,515.0780653950955,GUAÍBA,2.044861722187304,1
4309407,RS,806,525.9285359801489,536.9241935483872,524.2112903225807,541.540570719603,558.5856079404466,537.4380397022333,GUAPORÉ,2.731373690337602,2
4309605,RS,394,526.1246192893401,534.1467005076141,523.942385786802,539.8248730964467,549.3908629441624,534.6858883248731,HORIZONTINA,2.409274193548387,2
4310108,RS,675,514.3696296296297,540.5177777777777,534.6328888888889,545.1118518518518,547.9111111111112,536.5086518518518,IGREJINHA,2.206701030927835,2
